27,19,4,6,22,28,28,27,27,0,1,1,1
29,19,4,6,2,28,28,27,27,0,1,1,1
27,19,4,6,6,28,28,27,27,0,1,1,1
29,19,4,6,14,28,28,27,27,0,1,1,1
29,19,4,6,3,28,28,27,27,0,1,1,1
208,19,4,6,12,28,28,27,27,0,1,1,1
208,19,4,6,11,28,28,27,27,0,1,1,1
208,19,4,6,10,28,28,27,27,0,1,1,1
208,19,4,6,21,28,28,27,27,0,1,1,1
208,19,4,6,10,28,28,27,27,0,1,1,1
208,19,4,6,11,28,28,27,27,0,1,1,1
208,19,4,6,9,28,28,27,27,0,1,1,1
208,19,4,6,10,28,28,27,27,0,1,1,1
208,19,4,6,11,28,28,27,27,0,1,1,1
208,19,4,6,10,28,28,27,27,0,1,1,1
208,19,4,6,10,32,32,27,27,0,1,1,1
208,19,4,6,23,32,32,27,27,0,1,1,1
208,19,4,6,13,32,32,27,27,0,1,1,1
208,19,4,6,28,32,32,27,27,0,1,1,1
208,19,4,6,10,32,32,27,27,0,1,1,1
208,19,4,6,23,32,32,27,27,0,1,1,1
208,19,4,6,8,36,36,27,27,0,1,1,1
208,19,4,6,6,36,36,27,27,0,1,1,1
29,19,4,6,43,36,36,27,27,0,1,1,1
29,19,4,6,17,36,36,27,27,0,1,1,1
29,19,4,6,17,36,36,27,27,0,1,1,1
29,19,4,6,10,36,36,27,27,0,1,1,1
29,19,4,6,10,36,36,27,27,0,1,1,1
29,19,4,6,12,36,36,27,27,0,1,1,1
208,19,4,6,20,36,36,27,27,0,1,1,1
208,19,4,6,11,36,36,27,27,0,1,1,1
208,19,4,6,9,36,36,27,27,0,1,1,1
29,19,4,6,4,36,36,27,27,0,1,1,1
186,19,4,6,4,36,36,27,27,0,1,1,1
29,19,4,6,163,36,36,27,27,0,1,1,1
29,19,4,6,13,36,36,27,27,0,1,1,1
29,19,4,6,23,36,36,27,27,0,1,1,1
208,19,4,6,17,36,36,27,27,0,1,1,1
208,19,4,6,10,36,36,27,27,0,1,1,1
208,19,4,6,21,36,40,27,27,0,1,1,1
208,19,4,6,10,40,40,27,27,0,1,1,1
208,19,4,6,7,40,40,27,27,0,1,1,1
29,19,4,6,10,40,40,27,27,0,1,1,1
29,19,4,6,11,48,48,27,27,0,2,1,1
29,19,4,6,13,48,48,27,27,0,2,1,1
29,19,4,6,11,52,52,27,27,0,2,1,1
29,19,4,6,11,52,52,27,27,0,2,1,1
29,19,4,6,11,52,52,27,27,0,2,1,1
29,19,4,6,11,52,52,27,27,0,2,1,1
29,19,4,6,11,52,52,27,27,0,2,1,1
29,19,4,6,15,52,52,27,27,0,2,1,1
208,19,4,6,11,52,52,27,27,0,2,1,1
208,19,4,6,10,52,52,27,27,0,2,1,1
208,19,4,6,10,52,52,27,27,0,2,1,1
208,19,4,6,16,52,52,27,27,0,2,1,1
208,19,4,6,11,52,52,27,27,0,2,1,1
208,19,4,6,7,52,52,27,27,0,2,1,1
29,19,4,6,188,52,52,27,27,0,2,1,1
29,19,4,6,4,60,60,28,28,0,2,1,1
208,19,4,6,11,60,60,28,28,0,2,1,1
208,19,4,6,11,60,60,28,28,0,2,1,1
208,19,4,6,21,60,60,28,28,0,2,1,1
29,19,4,6,206,60,60,28,28,0,2,1,1
53,19,4,6,34,60,60,28,28,0,2,1,1
302,19,4,6,20,60,60,28,28,0,2,1,1
248,19,4,6,1,60,60,28,28,0,2,1,1
53,19,4,6,3,60,60,28,28,0,2,1,1
302,19,4,6,4,60,60,28,28,0,2,1,1
248,19,4,6,1,60,60,28,28,0,2,1,1
53,19,4,6,1,60,60,28,28,0,2,1,1
302,19,4,6,9,60,60,28,28,0,2,1,1
29,19,4,6,1,60,60,28,28,0,2,1,1
53,19,4,6,21,60,60,28,28,0,2,1,1
302,19,4,6,6,60,60,28,28,0,2,1,1
29,19,4,6,1,60,60,28,28,0,2,1,1
53,19,4,6,22,60,60,28,28,0,2,1,1
8,19,4,6,4,60,60,28,28,0,2,1,1
53,19,4,6,13,60,60,28,28,0,2,1,1
8,19,4,6,2,60,60,28,28,0,2,1,1
53,19,4,6,135,60,60,28,28,0,2,1,1
8,19,4,6,9,60,60,28,28,0,2,1,1
248,19,4,6,1,60,60,28,28,0,2,1,1
53,19,4,6,29,60,60,28,28,0,2,1,1
29,19,4,6,2,60,60,28,28,0,2,1,1
8,19,4,6,9,60,60,28,28,0,2,1,1
29,19,4,6,1,60,60,28,28,0,2,1,1
153,19,4,6,8,60,60,28,28,0,2,1,1
8,19,4,6,9,60,60,28,28,0,2,1,1
248,19,4,6,7,60,60,28,28,0,2,1,1
8,19,4,6,22,60,60,28,28,0,2,1,1
